S.No.,indicator code,Indicators, sub indicators,NFHS-5 (2019-20),,,NFHS-4 2015-16,STATE/UT
,,,,Urban,Rural,Total,Total,
683,28.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any method (%),72.3,61.1,67.9,26.3,Goa
684,29.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any modern method (%),65.0,52.4,60.1,24.8,Goa
685,30.,Current Use of Family Planning Methods (currently married women age 15–49 years),Female sterilization (%),33.2,24.9,29.9,16.3,Goa
686,31.,Current Use of Family Planning Methods (currently married women age 15–49 years),Male sterilization (%),0.0,0.0,0.0,0.0,Goa
687,32.,Current Use of Family Planning Methods (currently married women age 15–49 years),IUD/PPIUD (%),2.5,2.2,2.4,0.9,Goa
688,33.,Current Use of Family Planning Methods (currently married women age 15–49 years),Pill (%),3.4,1.7,2.7,0.3,Goa
689,34.,Current Use of Family Planning Methods (currently married women age 15–49 years),Condom (%),24.6,21.1,23.2,7.1,Goa
690,35.,Current Use of Family Planning Methods (currently married women age 15–49 years),Injectables (%),0.0,0.0,0.0,0.1,Goa
691,36.,Unmet Need for Family Planning (currently married women age 15–49 years),Total unmet need (%),7.3,10.1,8.4,17.5,Goa
692,37.,Unmet Need for Family Planning (currently married women age 15–49 years),Unmet need for spacing (%),3.5,4.7,4.0,8.3,Goa
693,38.,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),27.2,28.4,27.7,44.2,Goa
694,39.,Quality of Family Planning Services,Current users ever told about side effects of current method (%),86.4,(83.1),85.5,76,Goa
695,40.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had an antenatal check-up in the first trimester (%),66.5,,70.3,84.4,Goa
696,41.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had at least 4 antenatal care visits (%),92.9,,93.0,89.0,Goa
697,42.,Maternity Care (for last birth in the 5 years before the survey),Mothers whose last birth was protected against neonatal tetanus (%),98.0,,96.5,96.2,Goa
698,43.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),87.0,,87.5,67.4,Goa
699,44.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),61.4,,65.0,52.8,Goa
700,45.,Maternity Care (for last birth in the 5 years before the survey),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.7,,99.8,96.3,Goa
701,46.,Maternity Care (for last birth in the 5 years before the survey),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),96.5,,95.4,92.1,Goa
702,47.,Maternity Care (for last birth in the 5 years before the survey),Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,875",,3804,5012,Goa
704,49.,Maternity Care (for last birth in the 5 years before the survey),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),97.4,,96.7,na,Goa
705,50.,Delivery Care (for births in the 5 years before the survey),Institutional births (%),99.6,,99.7,96.9,Goa
706,51.,Delivery Care (for births in the 5 years before the survey),Institutional births in public facility (%),53.1,,56.2,58.2,Goa
707,52.,Delivery Care (for births in the 5 years before the survey),Home births that were conducted by skilled health personnel (%),0.0,,0.0,1.8,Goa
708,53.,Delivery Care (for births in the 5 years before the survey),Births attended by skilled health personnel (%),98.6,,99.1,97.5,Goa
709,54.,Delivery Care (for births in the 5 years before the survey),Births delivered by caesarean section (%),39.1,,39.5,31.4,Goa
710,55.,Delivery Care (for births in the 5 years before the survey),Births in a private health facility that were delivered by caesarean section (%),46.6,,50.0,51.3,Goa
711,56.,Delivery Care (for births in the 5 years before the survey),Births in a public health facility that were delivered by caesarean section (%),32.9,,31.5,19.9,Goa
712,57.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(77.9),,81.9,88.4,Goa
713,58.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.7),,91.0,95.8,Goa
714,59.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),(96.5) (100.0),,97.9,100.0,Goa
715,60.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),(83.8),,88.4,92.9,Goa
716,61.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(89.3),,90.8,94.2,Goa
717,62.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(92.9),,92.9,96.5,Goa
718,63.,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(23.2),,21.7,na,Goa
719,64.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.3),,6.3,na,Goa
720,65.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(95.2),,92.8,85.2,Goa
721,66.,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),94.4,,91.9,91.8,Goa
722,67.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(90.8),,92.7,77.2,Goa
723,68.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(9.2),,7.3,22.8,Goa
724,69.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.1,,3.2,3.8,Goa
728,73.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,,0.9,1.4,Goa
729,74.,Treatment of Childhood Diseases (children under age 5 years),Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(82.2),,86.6,89.0,Goa
730,75.,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),60.7,62.9,61.6,73.3,Goa
731,76.,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),*,*,61.4,60.9,Goa
733,78.,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),18.9,(21.8),20.2,9.1,Goa
735,80.,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),21.1,(22.2),21.5,10.4,Goa
736,81.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age) (%),24.3,28.2,25.8,20.1,Goa
737,82.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height) (%),17.7,21.5,19.1,21.9,Goa
738,83.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height) (%),6.4,9.4,7.5,9.5,Goa
739,84.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age) (%),22.5,26.6,24.0,23.8,Goa
740,85.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height) (%),2.2,3.6,2.8,3.7,Goa
741,86.,Nutritional Status of Adults (age 15-49 years),Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),13.1,15.0,13.8,14.7,Goa
742,87.,Nutritional Status of Adults (age 15-49 years),Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),9.3,18.4,12.5,10.8,Goa
743,88.,Nutritional Status of Adults (age 15-49 years),Women who are overweight or obese (BMI ≥25.0 kg/m2) (%),38.1,33.1,36.1,33.5,Goa
744,89.,Nutritional Status of Adults (age 15-49 years),Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),32.5,32.8,32.6,32.6,Goa
745,90.,Nutritional Status of Adults (age 15-49 years),Women who have high risk waist-to-hip ratio (≥0.85) (%),51.1,51.0,51.1,na,Goa
746,91.,Nutritional Status of Adults (age 15-49 years),Men who have high risk waist-to-hip ratio (≥0.90) (%),34.2,37.8,35.4,na,Goa
747,92.,Anaemia among Children and Adults,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),53.3,53.1,53.2,48.3,Goa
748,93.,Anaemia among Children and Adults,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),39.9,37.5,38.9,31.4,Goa
749,94.,Anaemia among Children and Adults,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(46.1),*,41,26.7,Goa
750,95.,Anaemia among Children and Adults,All women age 15-49 years who are anaemic (%),40.0,37.4,39.0,31.3,Goa
751,96.,Anaemia among Children and Adults,All women age 15-19 years who are anaemic (%),43.5,45.7,44.5,30.5,Goa
752,97.,Anaemia among Children and Adults,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),13.3,9.5,12.0,11.0,Goa
753,98.,Anaemia among Children and Adults,Men age 15-19 years who are anaemic (<13.0 g/dl) (%),(11.9),*,15.8,6.6,Goa
754,99.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high (141-160 mg/dl) (%) - Women,8.2,9.1,8.6,na,Goa
755,100.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - very high (>160 mg/dl) (%) - Women,9.7,9.5,9.6,na,Goa
756,101.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Women,20.6,21.1,20.8,na,Goa
757,102.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high (141-160 mg/dl) (%) - Men,10.3,10.3,10.3,na,Goa
758,103.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - very high (>160 mg/dl) (%) - Men,10.8,12.9,11.6,na,Goa
759,104.,Blood Sugar Level among Adults (age 15 years and above) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%) - Men,23.0,25.9,24.1,na,Goa
760,105.,Hypertension among Adults (age 15 years and above) - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Women,12.6,11.5,12.1,na,Goa
761,106.,Hypertension among Adults (age 15 years and above) - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Women,3.5,3.8,3.6,na,Goa
762,107.,Hypertension among Adults (age 15 years and above) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Women,27.6,27.4,27.5,na,Goa
763,108.,Hypertension among Adults (age 15 years and above) - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%) - Men,14.4,15.5,14.8,na,Goa
764,109.,Hypertension among Adults (age 15 years and above) - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%) - Men,4.7,4.7,4.7,na,Goa
765,110.,Hypertension among Adults (age 15 years and above) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%) - Men,25.9,28.2,26.8,na,Goa
766,111.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a screening test for cervical cancer (%) - Women,1.6,0.6,1.2,na,Goa
767,112.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone a breast examination for breast cancer (%) - Women,1.3,1.2,1.3,na,Goa
768,113.,Screening for Cancer among Adults (age 30-49 years) - Women,Ever undergone an oral cavity examination for oral cancer (%) - Women,0.8,0.4,0.6,na,Goa
769,114.,Screening for Cancer among Adults (age 30-49 years) - Men,Ever undergone an oral cavity examination for oral cancer (%) - Men,0.6,2.1,1.1,na,Goa
770,115.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who have comprehensive knowledge of HIV/AIDS (%),47.7,50.6,49.0,34.6,Goa
771,116.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who have comprehensive knowledge of HIV/AIDS (%),62.8,74.7,67.2,41.9,Goa
772,117.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),89.4,90.8,90.1,77.4,Goa
773,118.,Knowledge of HIV/AIDS among Adults (age 15-49 years),Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),98.0,97.5,97.8,89.2,Goa
774,119.,Women's Empowerment (women age 15-49 years),Currently married women who usually participate in three household decisions (%),89.3,98.6,93.1,93.8,Goa
775,120.,Women's Empowerment (women age 15-49 years),Women who worked in the last 12 months and were paid in cash (%),35.2,27.9,31.9,23.6,Goa
776,121.,Women's Empowerment (women age 15-49 years),Women owning a house and/or land (alone or jointly with others) (%),22.4,24.1,23.2,33.9,Goa
777,122.,Women's Empowerment (women age 15-49 years),Women having a bank or savings account that they themselves use (%),85.1,92.4,88.3,82.8,Goa
778,123.,Women's Empowerment (women age 15-49 years),Women having a mobile phone that they themselves use (%),94.5,87.1,91.2,80.9,Goa
779,124.,Women's Empowerment (women age 15-49 years),Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.2,97.6,96.8,89.3,Goa
780,125.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence (%),6.0,11.4,8.3,12.9,Goa
781,126.,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.9,2.7,1.6,1.6,Goa
782,127.,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age (%),1.6,8.8,4.6,1.3,Goa
783,128.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who use any kind of tobacco (%),2.4,2.8,2.6,na,Goa
784,129.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who use any kind of tobacco (%),19.5,16.3,18.2,na,Goa
785,130.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Women age 15 years and above who consume alcohol (%),5.6,5.3,5.5,na,Goa
786,131.,Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),Men age 15 years and above who consume alcohol (%),38.2,34.9,36.9,na,Goa
787,1.,Population and Household Profile,Female population age 6 years and above who ever attended school (%),83.7,65.4,72.9,72.0,Gujarat
788,2.,Population and Household Profile,Population below age 15 years (%),22.2,25.3,24.0,26.0,Gujarat
789,3.,Population and Household Profile,"Sex ratio of the total population (females per 1,000 males)",929,991,965,950,Gujarat
790,4.,Population and Household Profile,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",931,969,955,906,Gujarat
791,5.,Population and Household Profile,Children under age 5 years whose birth was registered with the civil authority (%),98.7,96.7,97.5,95.8,Gujarat
792,6.,Population and Household Profile,Deaths in the last 3 years registered with the civil authority (%),95.7,91.6,93.0,na,Gujarat
793,7.,Population and Household Profile,Population living in households with electricity (%),99.4,96.2,97.6,96.2,Gujarat
794,8.,Population and Household Profile,Population living in households with an improved drinking-water source (%),99.4,95.7,97.2,95.9,Gujarat
795,9.,Population and Household Profile,Population living in households that use an improved sanitation facility (%),89.3,63.3,74.0,63.6,Gujarat
796,10.,Population and Household Profile,Households using clean fuel for cooking (%),94.3,46.1,66.9,52.6,Gujarat
797,11.,Population and Household Profile,Households using iodized salt (%),97.4,94.3,95.6,95.5,Gujarat
798,12.,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),36.3,41.1,39.0,23.1,Gujarat
799,13.,Population and Household Profile,Children age 5 years who attended pre-primary school during the school year 2019 - 20 (%),8.7,5.8,6.9,na,Gujarat
800,14.,Characteristics of Adults (age 15-49 years),Women who are literate (%),86.8,69.0,76.5,na,Gujarat
801,15.,Characteristics of Adults (age 15-49 years),Men who are literate (%),95.4,87.5,90.9,na,Gujarat
802,16.,Characteristics of Adults (age 15-49 years),Women with 10 or more years of schooling (%),47.9,23.6,33.8,33.0,Gujarat
803,17.,Characteristics of Adults (age 15-49 years),Men with 10 or more years of schooling (%),56.9,36.9,45.6,43.0,Gujarat
804,18.,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),48.9,17.5,30.8,na,Gujarat
805,19.,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),72.9,48.0,58.9,na,Gujarat
806,20.,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),14.2,26.9,21.8,24.9,Gujarat
807,21.,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),18.7,33.9,27.7,28.4,Gujarat
808,22.,Marriage and Fertility,Total fertility rate (children per woman),1.7,2.0,1.9,2.0,Gujarat
809,23.,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.6,6.7,5.2,6.5,Gujarat
810,24.,Marriage and Fertility,Adolescent fertility rate for women age 15-19 years,24,40,34,41,Gujarat
811,25.,"Infant and Child Mortality Rates (per 1,000 live births)",Neonatal mortality rate (NNMR),16.8,24.8,21.8,26.8,Gujarat
812,26.,"Infant and Child Mortality Rates (per 1,000 live births)",Infant mortality rate (IMR),24.1,35.5,31.2,34.2,Gujarat
813,27.,"Infant and Child Mortality Rates (per 1,000 live births)",Under-five mortality rate (U5MR),26.7,44.2,37.6,43.5,Gujarat
814,28.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any method (%),69.5,62.2,65.3,46.9,Gujarat
815,29.,Current Use of Family Planning Methods (currently married women age 15–49 years),Any modern method (%),54.0,53.3,53.6,43.1,Gujarat
816,30.,Current Use of Family Planning Methods (currently married women age 15–49 years),Female sterilization (%),29.1,40.8,35.9,33.6,Gujarat
817,31.,Current Use of Family Planning Methods (currently married women age 15–49 years),Male sterilization (%),0.1,0.2,0.2,0.1,Gujarat
818,32.,Current Use of Family Planning Methods (currently married women age 15–49 years),IUD/PPIUD (%),4.2,2.4,3.1,3.0,Gujarat
819,33.,Current Use of Family Planning Methods (currently married women age 15–49 years),Pill (%),3.1,1.8,2.3,1.4,Gujarat
820,34.,Current Use of Family Planning Methods (currently married women age 15–49 years),Condom (%),16.8,7.5,11.4,4.9,Gujarat
821,35.,Current Use of Family Planning Methods (currently married women age 15–49 years),Injectables (%),0.1,0.1,0.1,0.0,Gujarat
822,36.,Unmet Need for Family Planning (currently married women age 15–49 years),Total unmet need (%),9.7,10.8,10.3,17.0,Gujarat
823,37.,Unmet Need for Family Planning (currently married women age 15–49 years),Unmet need for spacing (%),4.0,4.8,4.5,6.7,Gujarat
824,38.,Quality of Family Planning Services,Health worker ever talked to female non-users about family planning (%),31.5,28.8,29.8,18.9,Gujarat
825,39.,Quality of Family Planning Services,Current users ever told about side effects of current method (%),78.1,71.8,74.1,47.0,Gujarat
826,40.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had an antenatal check-up in the first trimester (%),83.7,76.4,79.3,73.8,Gujarat
827,41.,Maternity Care (for last birth in the 5 years before the survey),Mothers who had at least 4 antenatal care visits (%),82.4,73.3,76.9,70.5,Gujarat
828,42.,Maternity Care (for last birth in the 5 years before the survey),Mothers whose last birth was protected against neonatal tetanus (%),91.4,87.6,89.1,86.6,Gujarat
829,43.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),62.0,58.7,60.0,36.8,Gujarat
830,44.,Maternity Care (for last birth in the 5 years before the survey),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),45.5,41.8,43.2,18.5,Gujarat
831,45.,Maternity Care (for last birth in the 5 years before the survey),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.7,98.3,97.7,89.0,Gujarat
832,46.,Maternity Care (for last birth in the 5 years before the survey),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.1,87.5,89.7,63.3,Gujarat
833,47.,Maternity Care (for last birth in the 5 years before the survey),Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,027","1,535",1697,2136,Gujarat
834,48.,Maternity Care (for last birth in the 5 years before the survey),Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.4),7.7,6.9,3.7,Gujarat
835,49.,Maternity Care (for last birth in the 5 years before the survey),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.8,86.6,88.7,na,Gujarat
836,50.,Delivery Care (for births in the 5 years before the survey),Institutional births (%),97.8,92.2,94.3,88.5,Gujarat
837,51.,Delivery Care (for births in the 5 years before the survey),Institutional births in public facility (%),36.6,47.3,43.3,32.6,Gujarat
838,52.,Delivery Care (for births in the 5 years before the survey),Home births that were conducted by skilled health personnel (%),1.1,1.9,1.6,2.2,Gujarat
839,53.,Delivery Care (for births in the 5 years before the survey),Births attended by skilled health personnel (%),96.8,91.1,93.2,87.1,Gujarat
840,54.,Delivery Care (for births in the 5 years before the survey),Births delivered by caesarean section (%),30.7,15.3,21.0,18.4,Gujarat
841,55.,Delivery Care (for births in the 5 years before the survey),Births in a private health facility that were delivered by caesarean section (%),38.0,25.0,30.8,26.6,Gujarat
842,56.,Delivery Care (for births in the 5 years before the survey),Births in a public health facility that were delivered by caesarean section (%),20.3,8.8,12.4,10.8,Gujarat
843,57.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),77.0,75.9,76.3,50.4,Gujarat
844,58.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),82.9,86.2,85.0,78.9,Gujarat
845,59.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received BCG (%),95.6,94.2,94.7,87.9,Gujarat
846,60.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of polio vaccine (%),79.7,79.5,79.6,62.3,Gujarat
847,61.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.2,86.6,86.1,72.7,Gujarat
848,62.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.5,85.8,86.8,75.0,Gujarat
849,63.,Child Vaccinations and Vitamin A Supplementation,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),24.3,29.0,27.3,na,Gujarat
850,64.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),2.9,1.8,2.2,na,Gujarat
851,65.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),85.0,84.9,84.9,38.6,Gujarat
852,66.,Child Vaccinations and Vitamin A Supplementation,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.8,84.8,85.6,74.7,Gujarat
853,67.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a public health facility (%),83.4,97.4,92.1,87.1,Gujarat
854,68.,Child Vaccinations and Vitamin A Supplementation,Children age 12-23 months who received most of their vaccinations in a private health facility (%),16.4,2.3,7.6,12.6,Gujarat
855,69.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.7,9.7,8.2,8.4,Gujarat
856,70.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%) ,69.8,65.4,66.5,46.2,Gujarat
857,71.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),31.7,36.8,35.4,17.4,Gujarat
858,72.,Treatment of Childhood Diseases (children under age 5 years),Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),70.5,69.3,69.6,65.4,Gujarat
859,73.,Treatment of Childhood Diseases (children under age 5 years),Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.9,1.1,1.0,1.4,Gujarat
860,74.,Treatment of Childhood Diseases (children under age 5 years),Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),76.0,74.8,75.2,70.2,Gujarat
861,75.,Child Feeding Practices and Nutritional Status of Children,Children under age 3 years breastfed within one hour of birth (%),34.4,39.9,37.8,49.9,Gujarat
862,76.,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed (%),70.3,62.4,65.0,55.8,Gujarat
863,77.,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),40.8,42.6,42.0,49.4,Gujarat
864,78.,Child Feeding Practices and Nutritional Status of Children,Breastfeeding children age 6-23 months receiving an adequate diet (%),6.5,5.6,5.9,5.8,Gujarat
865,79.,Child Feeding Practices and Nutritional Status of Children,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),7.2,5.1,6.0,2.8,Gujarat
866,80.,Child Feeding Practices and Nutritional Status of Children,Total children age 6-23 months receiving an adequate diet (%),6.6,5.5,5.9,5.2,Gujarat
867,81.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age) (%),32.4,43.0,39.0,38.5,Gujarat
868,82.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height) (%),22.4,26.7,25.1,26.4,Gujarat
869,83.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height) (%),9.7,11.1,10.6,9.5,Gujarat
870,84.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age) (%),33.3,43.5,39.7,39.3,Gujarat
871,85.,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height) (%),4.6,3.5,3.9,1.9,Gujarat
872,86.,Nutritional Status of Adults (age 15-49 years),Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),17.2,30.9,25.2,27.2,Gujarat
873,87.,Nutritional Status of Adults (age 15-49 years),Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),16.0,24.7,20.9,24.7,Gujarat
874,88.,Nutritional Status of Adults (age 15-49 years),Women who are overweight or obese (BMI ≥25.0 kg/m2) (%),30.4,17.0,22.6,23.7,Gujarat
875,89.,Nutritional Status of Adults (age 15-49 years),Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),25.6,15.6,19.9,19.7,Gujarat
876,90.,Nutritional Status of Adults (age 15-49 years),Women who have high risk waist-to-hip ratio (≥0.85) (%),47.2,41.2,43.7,na,Gujarat
877,91.,Nutritional Status of Adults (age 15-49 years),Men who have high risk waist-to-hip ratio (≥0.90) (%),43.3,39.0,40.9,na,Gujarat
878,92.,Anaemia among Children and Adults,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),77.6,81.2,79.7,62.6,Gujarat
879,93.,Anaemia among Children and Adults,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),61.4,67.7,65.1,55.1,Gujarat
880,94.,Anaemia among Children and Adults,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),55.6,66.4,62.6,51.3,Gujarat
881,95.,Anaemia among Children and Adults,All women age 15-49 years who are anaemic (%),61.3,67.6,65.0,54.9,Gujarat
882,96.,Anaemia among Children and Adults,All women age 15-19 years who are anaemic (%),63.0,72.3,69.0,56.5,Gujarat
883,97.,Anaemia among Children and Adults,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),23.3,29.1,26.6,21.6,Gujarat
884,98.,Anaemia among Children and Adults,Men age 15-19 years who are anaemic (<13.0 g/dl) (%),31.5,39.2,36.0,31.9,Gujarat
885,99.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - high (141-160 mg/dl) (%) - Women,8.4,7.9,8.1,na,Gujarat
886,100.,Blood Sugar Level among Adults (age 15 years and above) - Women,Blood sugar level - very high (>160 mg/dl) (%) - Women,7.6,6.1,6.7,na,Gujarat
